HJD,RV,RV Error,Instrument
2459791.9186,131.9,0.1,HIRES
2459823.8525,53.76,0.1,HIRES
2459824.8516,51.18,0.1,HIRES
2459826.792,46.59,0.1,HIRES
2459833.7523,33.23,0.1,HIRES
2459834.7691,31.74,0.1,HIRES
2459835.7678,30.14,0.1,HIRES
2459838.8082,26.35,0.1,HIRES
2459840.7729,24.2,0.1,HIRES
2459813.604530628,90.4700000000028,0.1476858435953149,FEROS
2459814.587400711,86.22500000000318,0.1043065597095821,FEROS
2459815.592665062,82.09000000000363,0.0492482550452549,FEROS
2459817.527847385,74.4750000000023,0.0533185811303424,FEROS
2459818.526580926,70.81000000000246,0.0537563586355414,FEROS
2459819.554269439,67.20500000000163,0.0580390409417742,FEROS
2459820.546464985,63.94999999999941,0.0666438763128184,FEROS
2459821.566921654,60.68499999999926,0.0590451363365232,FEROS
2459822.574491598,57.66499999999927,0.0849534569264084,FEROS
2459823.542241245,54.9849999999998,0.1110457218615156,FEROS
2459824.530554357,52.19999999999956,0.0332309625951394,FEROS
2459825.536061523,49.90499999999862,0.1579553808635213,FEROS
2459828.567653916,42.79499999999845,0.0729362882825509,FEROS
2459829.576792139,40.5199999999989,0.0858641732621765,FEROS
2459830.617485125,38.76499999999885,0.1486060720442765,FEROS
2459831.622284275,37.335000000001145,0.3809532336271511,FEROS
2459834.55087326,31.810000000001377,0.1423368034803589,FEROS
2459985.8801043928,139.05,0.23,FEROS
2459989.8697613627,129.35,0.08,FEROS
2459992.8689663145,117.79,0.06,FEROS
2459996.874,99.86,0.09,FEROS
2459997.8709,95.49,0.15,FEROS
2459999.876,86.66,0.09,FEROS
2460000.8793,82.43,0.07,FEROS
2460001.8731,78.57,0.11,FEROS
2460002.8546,74.67,0.08,FEROS
2460003.8613,71.13,0.06,FEROS
2460004.8639,67.51,0.07,FEROS
2460005.8594,64.21,0.04,FEROS
2460006.8705,60.87,0.05,FEROS
2460012.8827,44.99,0.04,FEROS
2460014.8826,40.84,0.07,FEROS
2460016.881,37.03,0.05,FEROS
2460017.8634,35.43,0.05,FEROS
2460018.8627,33.73,0.05,FEROS
2460026.8575,23.5,0.07,FEROS
2460040.8413,14.03,0.05,FEROS
2460043.864,12.87,0.05,FEROS
2460050.8708,11.24,0.08,FEROS
2460053.7976,10.6,0.09,FEROS
2460054.831451286,10.61999999999988,0.0886393456301978,FEROS
2460073.7926,11.75,0.09,FEROS
2460076.7645,12.33,0.0656679546920514,FEROS
2460077.7304,12.725,0.0724567152577128,FEROS
2460080.8029,13.645,0.0831142791488755,FEROS
2460085.7878,15.199999999999932,0.0679655171644952,FEROS
2460101.8146,23.060000000000635,0.037109621709712,FEROS
2460110.7907,29.465000000000387,0.1019649478298339,FEROS
2460111.7161,30.370000000000527,0.0542527361061257,FEROS
2460113.6682,32.06500000000048,0.0374152688584546,FEROS
2460142.6035,74.50500000000153,0.0543130034499383,FEROS
2460187.6126,77.22500000000164,0.062768174658851,FEROS
2460223.5072,15.29499999999993,0.0994555491161733,FEROS
2460050.892685,11.275000000000512,0.0559305069756613,TRES
2460037.977044,15.670000000000416,0.0590445845354512,TRES
2460075.86742,12.61250000000041,0.0470714193382694,TRES
2460089.904747,17.14000000000049,0.0488581133093152,TRES
2460093.835143,18.83499999999944,0.0521124229875041,TRES
2460102.813391,24.06499999999939,0.0464540878343941,TRES
2460113.812586,32.57499999999949,0.05860791800975,TRES
2460121.779395,40.75500000000141,0.0717653480501875,TRES
2460133.739643,57.46500000000152,0.0652935252873422,TRES
2460162.679339,132.72249999999752,0.0952922648525273,TRES
2460192.655054,59.97000000000152,0.0423747703327709,TRES
2460202.630862,36.62250000000134,0.030408469215022,TRES
2460206.63508,30.40999999999932,0.030963324563536,TRES
2460042.80334025,13.0180899536823,0.0062269098630856,ESPRESSO
2460046.77781225,11.7593127354791,0.0049133985279729,ESPRESSO
2460049.76514109,11.0815190875456,0.0044485878449923,ESPRESSO
2460052.79998261,10.5756249622069,0.0055789117155899,ESPRESSO
2460060.82595444,10.1051944683382,0.0044483591027803,ESPRESSO
2460065.86996286,10.3428850354745,0.0054318685486732,ESPRESSO
2460076.74733757,12.1619646886455,0.0047379278869958,ESPRESSO
2460087.81110054,15.7071394459143,0.0031899588711383,ESPRESSO
2460094.69383443,18.8160092982446,0.0051471930081796,ESPRESSO
2460101.78311314,22.8400182374583,0.0045757899215835,ESPRESSO
2460107.67900815,26.899376128973,0.0041588848118115,ESPRESSO
2460112.78462434,31.0566247561451,0.004713946897292,ESPRESSO
2460117.75815235,35.7465958463332,0.0044947421233988,ESPRESSO
2460133.56105176,56.5368440339032,0.0087187989707774,ESPRESSO
2460143.55866985,76.5159898290449,0.0044248647821511,ESPRESSO
2460153.49007217,103.894898554722,0.0083193555833646,ESPRESSO
2460163.53256515,134.093246804322,0.0037268626852142,ESPRESSO
2460164.49360307,136.171080453816,0.0048965887614247,ESPRESSO
2460165.50376159,138.014007467132,0.0043233475004653,ESPRESSO
2460167.53334113,140.403201237578,0.0039448609562882,ESPRESSO
2460168.51896916,140.827709450195,0.0037282279008205,ESPRESSO
2460169.55088376,140.702529389376,0.0040725076195528,ESPRESSO
2460170.50492373,140.026945879985,0.0064609757051282,ESPRESSO
2460172.49642063,136.967010870316,0.0034113340343592,ESPRESSO
2460173.50168685,134.578363322935,0.0041339379920096,ESPRESSO
2460175.60954995,128.014303034374,0.0041998257220353,ESPRESSO
2460176.56980206,124.440104532543,0.0047268494302683,ESPRESSO
2460177.51388963,120.655949445946,0.0040265196264112,ESPRESSO
2460178.4970104,116.487100476623,0.0031446190619947,ESPRESSO
2460179.48759297,112.13622964087,0.0038432244275067,ESPRESSO
2460181.4862474,103.115161155179,0.0035704644368305,ESPRESSO
2460182.51696422,98.4518184311572,0.0057865394447583,ESPRESSO
2460183.48443316,94.1417619651224,0.0034079212390152,ESPRESSO
2460193.50928315,56.974579218871,0.0052234127332291,ESPRESSO
2460197.49980121,46.5794725215611,0.0070366751759972,ESPRESSO
2460202.50547691,36.3992186520153,0.0054682009755109,ESPRESSO
2460204.51537427,33.071990475996,0.0039560011836043,ESPRESSO
2460206.52023807,30.1236656874057,0.0057370952201654,ESPRESSO
2460211.50279759,24.0716861679319,0.0077697548284739,ESPRESSO
2460213.51076397,22.0682795090471,0.0051808151174248,ESPRESSO
